LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12-2_3;131700.373;549630.244;3.491;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131737.121;549580.308;2.842;-1;-1;-1;-1;-1;-1;131739.788;549576.684;3.429;131739.788;549576.684;3.429;131741.269;549574.671;3.501;131744.234;549570.643;3.42;131745.995;549568.249;2.88;131748.366;549565.028;2.781;131754.59;549556.571;0.973;-1;-1;-1;-1;-1;-1;131803.489;549490.125;-1.42
12-2_4;131679.237;549612.261;3.265;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131723.004;549557.631;3.019;-1;-1;-1;-1;-1;-1;131725.192;549554.899;3.417;131725.817;549554.119;3.441;131727.38;549552.169;2.828;131726.047;549553.832;3.37;131728.236;549551.1;2.697;131730.424;549548.369;2.37;131738.865;549537.833;0.546;-1;-1;-1;-1;-1;-1;131788.259;549476.179;-1.6
12-2_5;131663.649;549595.574;3.381;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131704.055;549541.503;2.922;-1;-1;-1;-1;-1;-1;131705.252;549539.901;3.509;131705.252;549539.901;3.509;131706.749;549537.899;3.048;131705.851;549539.1;3.484;131707.347;549537.098;2.819;131710.939;549532.291;2.226;131716.027;549525.483;0.245;-1;-1;-1;-1;-1;-1;131765.711;549458.996;-1.52
12-2_6;131640.042;549582.018;3.459;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131683.765;549526.714;2.873;-1;-1;-1;-1;-1;-1;131685.315;549524.753;3.479;131685.315;549524.753;3.479;131686.866;549522.792;3.306;131686.246;549523.576;3.52;131688.106;549521.223;2.903;131690.897;549517.693;2.249;131695.238;549512.202;0.239;-1;-1;-1;-1;-1;-1;131747.955;549445.523;-1.01
12-2_7;131622.125;549568.085;3.931;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131664.417;549511.055;2.8;-1;-1;-1;-1;-1;-1;131665.906;549509.047;3.412;131665.906;549509.047;3.412;131667.396;549507.039;3.255;131666.8;549507.843;3.35;131668.587;549505.433;2.735;131670.374;549503.023;2.399;131674.544;549497.4;0.269;-1;-1;-1;-1;-1;-1;131725.771;549428.322;-0.96
12-2_8;131601.198;549552.134;5.324;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131644.184;549496.255;2.695;-1;-1;-1;-1;-1;-1;131645.709;549494.274;3.395;131645.709;549494.274;3.395;131647.233;549492.292;3.26;131646.928;549492.689;3.384;131649.062;549489.915;2.264;131651.196;549487.14;2.223;131654.55;549482.781;0.537;-1;-1;-1;-1;-1;-1;131663.791;549470.768;-0.01
12-2_9;131581.53;549536.913;5.556;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131624.115;549481.356;2.439;-1;-1;-1;-1;-1;-1;131625.636;549479.372;3.239;131625.636;549479.372;3.239;131627.156;549477.388;3.266;131628.373;549475.801;3.186;-1;-1;-1;-1;-1;-1;131634.761;549467.467;0.545;-1;-1;-1;-1;-1;-1;131643.313;549456.309;0.03
12-2_10;131562.731;549520.134;5.704;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131604.23;549466.265;2.373;-1;-1;-1;-1;-1;-1;131606.061;549463.889;3.437;131606.061;549463.889;3.437;131607.586;549461.909;3.287;131607.892;549461.512;3.287;-1;-1;-1;-1;-1;-1;131612.774;549455.174;0.884;-1;-1;-1;-1;-1;-1;131624.099;549440.475;0.09
12-2_11;131541.772;549506.481;5.946;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131583.834;549451.784;2.324;-1;-1;-1;-1;-1;-1;131586.272;549448.613;3.518;131586.272;549448.613;3.518;131587.796;549446.631;3.425;131587.492;549447.027;3.489;-1;-1;-1;-1;-1;-1;131593.283;549439.497;1.025;-1;-1;-1;-1;-1;-1;131602.848;549427.058;0.25
12-2_12;131520.448;549488.7;5.916;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131564.833;549435.219;2.292;-1;-1;-1;-1;-1;-1;131566.749;549432.91;3.442;131566.749;549432.91;3.442;131568.345;549430.986;3.351;131568.345;549430.986;3.351;-1;-1;-1;-1;-1;-1;131576.647;549420.982;0.461;-1;-1;-1;-1;-1;-1;131585.322;549410.53;0.31
12-2_13;131497.455;549465.312;5.879;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131546.497;549417.488;2.335;-1;-1;-1;-1;-1;-1;131549.718;549414.346;3.416;131549.718;549414.346;3.416;131551.508;549412.601;3.279;131551.15;549412.95;3.386;-1;-1;-1;-1;-1;-1;131559.026;549405.27;0.563;-1;-1;-1;-1;-1;-1;131573.465;549391.189;0.15
12-2_14;131474.45;549435.661;5.819;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131530.842;549396.773;2.286;-1;-1;-1;-1;-1;-1;131534.547;549394.219;3.385;131534.547;549394.219;3.385;131536.605;549392.8;3.316;131536.203;549393.076;3.448;-1;-1;-1;-1;-1;-1;131546.082;549386.264;0.399;-1;-1;-1;-1;-1;-1;131561.931;549375.334;0.33
12-2_15;131456.879;549404.231;5.902;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131518.853;549373.896;2.504;-1;-1;-1;-1;-1;-1;131521.099;549372.797;3.296;131521.099;549372.797;3.296;131523.344;549371.698;3.295;131524.242;549371.259;3.298;-1;-1;-1;-1;-1;-1;131533.673;549366.643;0.326;-1;-1;-1;-1;-1;-1;131552.94;549357.212;0.21
12-2_16;131443.724;549371.607;6.245;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131505.94;549351.128;2.26;-1;-1;-1;-1;-1;-1;131512.115;549349.095;3.233;131512.115;549349.095;3.233;131514.489;549348.314;3.22;131516.864;549347.532;3.008;-1;-1;-1;-1;-1;-1;131526.838;549344.249;0.364;-1;-1;-1;-1;-1;-1;131552.423;549335.827;0.11
12-2_17;131435.459;549340.739;6.088;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131500.296;549325.961;2.213;-1;-1;-1;-1;-1;-1;131506.146;549324.627;3.25;131506.146;549324.627;3.25;131508.583;549324.072;3.256;131508.583;549324.072;3.256;131511.216;549323.472;2.584;131516.578;549322.25;2.43;131523.403;549320.694;0.371;-1;-1;-1;-1;-1;-1;131550.476;549314.523;0.17
12-2_18;131430.896;549303.558;3.85;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131498.791;549299.774;2.275;-1;-1;-1;-1;-1;-1;131503.284;549299.524;3.379;131503.284;549299.524;3.379;131505.78;549299.384;3.366;131505.281;549299.412;3.45;131509.275;549299.19;2.435;131517.761;549298.717;2.318;131523.752;549298.383;0.47;-1;-1;-1;-1;-1;-1;131545.628;549297.164;0.33
12-2_19;131430.74;549271.513;0.407;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131499.687;549274.21;2.222;-1;-1;-1;-1;-1;-1;131503.684;549274.367;3.347;131503.684;549274.367;3.347;131506.182;549274.464;3.301;131505.683;549274.445;3.373;131509.18;549274.582;2.468;131518.673;549274.953;2.284;131523.169;549275.129;0.596;-1;-1;-1;-1;-1;-1;131546.819;549276.054;0.14
12-2_20;131432.211;549245.034;-0.087;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131500.589;549249.108;2.255;-1;-1;-1;-1;-1;-1;131505.081;549249.376;3.387;131505.081;549249.376;3.387;131507.576;549249.524;3.203;131507.078;549249.495;3.312;131510.572;549249.703;2.319;131519.556;549250.238;2.344;131524.547;549250.536;0.618;-1;-1;-1;-1;-1;-1;131550.463;549252.08;0.29
12-2_21;131435.193;549220.167;-0.427;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131502.074;549224.152;2.305;-1;-1;-1;-1;-1;-1;131505.568;549224.36;3.069;131505.568;549224.36;3.069;131508.064;549224.509;3.26;131508.563;549224.539;3.222;131512.057;549224.747;2.441;131521.041;549225.282;2.127;131525.034;549225.52;0.638;-1;-1;-1;-1;-1;-1;131562.899;549227.777;0.04
12-2_22;131435.271;549194.789;-0.163;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131503.631;549199.173;2.339;-1;-1;-1;-1;-1;-1;131507.623;549199.429;3.257;131507.623;549199.429;3.257;131510.118;549199.589;3.357;131510.117;549199.589;3.357;131513.61;549199.814;2.395;131521.095;549200.294;2.2;131525.087;549200.55;0.586;-1;-1;-1;-1;-1;-1;131579.418;549204.034;0.07
12-2_23;131436.87;549169.84;0.257;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131505.229;549174.225;2.493;-1;-1;-1;-1;-1;-1;131509.221;549174.481;3.188;131509.221;549174.481;3.188;131511.716;549174.641;3.235;131511.217;549174.609;3.28;131515.708;549174.897;2.258;131522.194;549175.313;2.227;131526.186;549175.569;0.597;-1;-1;-1;-1;-1;-1;131600.886;549180.36;0.06
12-2_24;131438.468;549144.891;1.416;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131508.324;549149.372;2.531;-1;-1;-1;-1;-1;-1;131511.318;549149.564;3.267;131511.318;549149.564;3.267;131513.813;549149.724;3.145;131513.314;549149.692;3.258;131516.807;549149.916;2.186;131522.795;549150.3;2.092;131525.788;549150.492;1.237;-1;-1;-1;-1;-1;-1;131602.525;549155.414;0.03
12-2_25;131439.845;549120.502;1.478;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131507.737;549124.334;2.467;-1;-1;-1;-1;-1;-1;131512.729;549124.615;3.257;131512.729;549124.615;3.257;131515.225;549124.756;3.058;131514.226;549124.7;3.23;131517.721;549124.897;2.33;131523.711;549125.235;2.124;131528.703;549125.517;0.324;-1;-1;-1;-1;-1;-1;131566.472;549127.648;-0.03
12-2_26;131441.255;549095.542;0.698;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131511.144;549099.486;2.579;-1;-1;-1;-1;-1;-1;131513.64;549099.627;3.269;131513.64;549099.627;3.269;131516.136;549099.768;3.183;131515.636;549099.74;3.3;131519.63;549099.965;2.362;131524.622;549100.247;2.136;131530.612;549100.585;0.427;-1;-1;-1;-1;-1;-1;131553.057;549101.851;-0.04
12-2_27;131442.665;549070.582;-0.131;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131510.557;549074.413;2.407;-1;-1;-1;-1;-1;-1;131514.55;549074.638;3.262;131514.55;549074.638;3.262;131517.046;549074.779;3.23;131516.547;549074.751;3.268;131520.541;549074.976;2.384;131525.033;549075.23;2.179;131530.026;549075.512;0.373;-1;-1;-1;-1;-1;-1;131533.972;549075.734;0.14
12-2_28;131444.066;549045.725;-0.477;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131511.963;549049.462;2.042;-1;-1;-1;-1;-1;-1;131516.956;549049.736;3.269;131516.956;549049.736;3.269;131519.452;549049.874;3.281;131518.953;549049.846;3.324;131522.447;549050.039;2.412;131526.441;549050.258;2.078;131531.434;549050.533;0.287;-1;-1;-1;-1;-1;-1;131534.579;549050.706;0.13
12-2_29;131445.87;549012.98;-0.375;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131513.767;549016.717;2.102;-1;-1;-1;-1;-1;-1;131518.26;549016.964;3.354;131518.26;549016.964;3.354;131520.757;549017.102;3.125;131519.758;549017.047;3.373;131523.253;549017.239;2.426;131527.746;549017.486;1.976;131531.74;549017.706;0.444;-1;-1;-1;-1;-1;-1;131533.412;549017.798;0.38
12-2_30;131446.816;548995.801;-0.392;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131514.714;548999.537;2.101;-1;-1;-1;-1;-1;-1;131518.708;548999.757;3.282;131518.708;548999.757;3.282;131521.205;548999.895;3.15;131520.205;548999.84;3.385;131524.199;549000.059;2.333;131528.193;549000.279;2.016;131533.186;549000.554;0.224;-1;-1;-1;-1;-1;-1;131551.024;549001.536;0.26
12-2_31;131448.192;548970.839;-0.307;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131515.59;548974.548;2.14;-1;-1;-1;-1;-1;-1;131520.083;548974.795;3.281;131520.083;548974.795;3.281;131522.579;548974.932;3.12;131522.08;548974.905;3.207;131525.574;548975.097;2.415;131529.568;548975.317;2.138;131536.558;548975.702;0.151;-1;-1;-1;-1;-1;-1;131559.88;548976.985;0.21
12-2_32;131449.567;548945.876;-0.313;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131517.963;548949.641;2.155;-1;-1;-1;-1;-1;-1;131521.957;548949.86;3.299;131521.957;548949.86;3.299;131524.454;548949.998;3.155;131523.455;548949.943;3.329;131526.95;548950.135;2.56;131531.443;548950.382;2.141;131538.432;548950.767;0.392;-1;-1;-1;-1;-1;-1;131557.613;548951.823;0.04
12-2_33;131450.942;548920.914;-0.367;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131519.339;548924.679;2.152;-1;-1;-1;-1;-1;-1;131522.833;548924.871;3.285;131522.833;548924.871;3.285;131525.33;548925.008;3.25;131524.83;548924.981;3.317;131528.824;548925.201;2.438;131532.818;548925.42;2.115;131536.313;548925.613;0.994;-1;-1;-1;-1;-1;-1;131556.481;548926.723;0.02
12-2_34;131452.422;548895.607;-0.159;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131521.3;548899.723;2.211;-1;-1;-1;-1;-1;-1;131524.294;548899.902;3.293;131524.294;548899.902;3.293;131526.79;548900.051;3.26;131526.291;548900.021;3.37;131529.285;548900.2;2.545;131533.777;548900.468;2.287;131536.273;548900.618;1.308;-1;-1;-1;-1;-1;-1;131565.513;548902.365;0.08
12-2_35;131453.916;548870.651;-0.285;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131522.294;548874.738;2.154;-1;-1;-1;-1;-1;-1;131525.787;548874.946;3.288;131525.787;548874.946;3.288;131528.282;548875.096;3.28;131527.784;548875.066;3.34;131530.778;548875.245;2.632;131534.771;548875.483;2.412;131538.265;548875.692;1.254;-1;-1;-1;-1;-1;-1;131560.541;548877.023;0.03
12-2_36;131455.409;548845.696;-0.105;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131523.787;548849.782;2.305;-1;-1;-1;-1;-1;-1;131527.28;548849.991;3.242;131527.28;548849.991;3.242;131529.776;548850.14;3.21;131529.277;548850.11;3.343;131531.772;548850.259;2.608;131536.264;548850.528;2.334;131540.257;548850.767;1.017;-1;-1;-1;-1;-1;-1;131629.099;548856.076;-0.95
12-2_37;131456.902;548820.74;-0.115;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131524.78;548824.797;2.291;-1;-1;-1;-1;-1;-1;131528.773;548825.036;3.338;131528.773;548825.036;3.338;131531.268;548825.185;3.18;131530.77;548825.155;3.329;131533.265;548825.304;2.694;131537.258;548825.543;2.457;131540.752;548825.751;1.337;-1;-1;-1;-1;-1;-1;131624.103;548830.733;-1.21
12-2_38;131458.396;548795.772;-0.033;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131525.775;548799.811;2.435;-1;-1;-1;-1;-1;-1;131529.768;548800.05;3.428;131529.768;548800.05;3.428;131532.264;548800.199;3.389;131531.765;548800.17;3.456;131534.759;548800.349;2.622;131538.253;548800.558;2.472;131543.743;548800.887;0.491;-1;-1;-1;-1;-1;-1;131626.095;548805.823;-1.05
12-2_39;131458.574;548775.396;0.187;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131526.074;548775.254;2.361;-1;-1;-1;-1;-1;-1;131530.074;548775.246;3.289;131530.074;548775.246;3.289;131532.574;548775.241;3.267;131532.074;548775.242;3.321;131534.574;548775.236;2.756;131538.574;548775.228;2.48;131549.574;548775.205;0.002;-1;-1;-1;-1;-1;-1;131593.574;548775.113;-0.99
12-2_40;131458.296;548751.958;0.439;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131525.279;548750.414;2.551;-1;-1;-1;-1;-1;-1;131529.278;548750.322;3.47;131529.278;548750.322;3.47;131531.777;548750.265;3.505;131532.277;548750.253;3.433;131534.776;548750.196;2.643;131538.775;548750.103;2.378;131543.274;548750;0.566;-1;-1;-1;-1;-1;-1;131632.25;548747.949;-1.38
12-2_41;131457.729;548729.88;0.55;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131524.101;548725.751;2.606;-1;-1;-1;-1;-1;-1;131527.594;548725.534;3.323;131527.594;548725.534;3.323;131530.09;548725.379;3.394;131530.588;548725.348;3.417;131533.154;548725.188;2.708;131537.645;548724.909;2.393;131544.133;548724.505;0.236;-1;-1;-1;-1;-1;-1;131631.464;548719.072;-1.21
12-2_42;131456.274;548705.731;0.18;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131523.096;548700.847;2.617;-1;-1;-1;-1;-1;-1;131526.587;548700.592;3.334;131526.587;548700.592;3.334;131529.08;548700.41;3.399;131529.579;548700.373;3.379;131532.571;548700.154;2.69;131536.061;548699.899;2.507;131543.541;548699.353;0.073;-1;-1;-1;-1;-1;-1;131629.811;548693.048;-1.14
12-2_43;131454.504;548682.776;0.265;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131521.67;548676.072;2.62;-1;-1;-1;-1;-1;-1;131524.655;548675.774;3.454;131524.655;548675.774;3.454;131527.143;548675.526;3.457;131526.645;548675.576;3.517;131529.63;548675.278;2.809;131533.113;548674.93;2.533;131541.571;548674.086;0.104;-1;-1;-1;-1;-1;-1;131627.643;548665.495;-1.12
12-2_44;131451.669;548660.971;1.369;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131519.996;548651.356;2.55;-1;-1;-1;-1;-1;-1;131522.966;548650.938;3.306;131522.966;548650.938;3.306;131525.441;548650.59;3.228;131524.947;548650.66;3.369;131527.117;548650.354;2.894;131530.583;548649.866;2.649;131538.505;548648.752;0.128;-1;-1;-1;-1;-1;-1;131624.161;548636.698;-1.08
12-2_45;131448.615;548635.724;2.2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131515.014;548626.77;2.452;-1;-1;-1;-1;-1;-1;131519.474;548626.168;3.385;131519.474;548626.168;3.385;131521.952;548625.834;3.422;131521.456;548625.901;3.549;131524.429;548625.5;2.933;131527.402;548625.099;2.558;131533.348;548624.297;0.418;-1;-1;-1;-1;-1;-1;131621.054;548612.47;-1.08
12-2_46;131445.13;548613.627;2.413;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131510.679;548602.422;2.487;-1;-1;-1;-1;-1;-1;131515.115;548601.664;3.447;131515.115;548601.664;3.447;131517.579;548601.243;3.344;131517.086;548601.327;3.474;131519.058;548600.99;2.939;131523;548600.316;2.643;131529.407;548599.221;0.319;-1;-1;-1;-1;-1;-1;131616.642;548584.31;-1.04
12-2_47;131440.735;548590.444;2.337;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131506.062;548578.006;2.733;131507.044;548577.819;3.015;131509.5;548577.352;3.128;131510.974;548577.071;3.478;131510.974;548577.071;3.478;131513.43;548576.603;3.333;131512.938;548576.697;3.477;131515.394;548576.229;2.932;131518.341;548575.668;2.825;131524.235;548574.546;0.658;-1;-1;-1;-1;-1;-1;131611.665;548557.9;-1
12-2_48;131435.886;548568.658;2.325;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131500.724;548553.88;2.889;131502.186;548553.546;3.229;131504.136;548553.102;3.312;131505.599;548552.769;3.504;131505.599;548552.769;3.504;131508.037;548552.213;3.465;131507.549;548552.324;3.588;131509.762;548551.82;2.97;131513.174;548551.042;2.838;131519.512;548549.597;0.488;-1;-1;-1;-1;-1;-1;131605.799;548529.93;-0.97
12-2_49;131430.331;548544.283;2.254;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131495.168;548529.505;3.071;131496.63;548529.171;3.332;131499.068;548528.616;3.301;131500.53;548528.283;3.474;131500.53;548528.283;3.474;131502.968;548527.727;3.43;131502.48;548527.838;3.509;131504.186;548527.449;2.896;131508.086;548526.56;2.711;131514.423;548525.116;0.297;-1;-1;-1;-1;-1;-1;131600.223;548505.56;-1.12
12-2_50;131488.637;548505.518;3.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131490.479;548505.063;3.113;-1;-1;-1;-1;-1;-1;131490.964;548504.943;3.403;131490.964;548504.943;3.403;131493.391;548504.344;3.472;131497.274;548503.385;3.41;131499.04;548502.949;2.949;131502.438;548502.11;2.918;131510.204;548500.192;0.19;-1;-1;-1;-1;-1;-1;131594.182;548479.456;-2.36
12-2_51;131483.207;548481.168;3.431;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131484.835;548480.754;2.9;131485.804;548480.507;3.282;131487.742;548480.014;3.292;131488.711;548479.767;3.516;131488.711;548479.767;3.516;131491.134;548479.151;3.47;131490.649;548479.274;3.525;131493.185;548478.629;2.899;131496.093;548477.889;2.878;131503.846;548475.915;0.516;-1;-1;-1;-1;-1;-1;131587.673;548454.579;-2.24
12-2_52_2;131485.391;548491.274;3.551;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131483.901;548491.448;3.441;131483.901;548491.448;3.441;131481.418;548491.739;3.481;131467.815;548493.333;3.281;-1;-1;-1;-1;-1;-1;131466.325;548493.507;2.942;-1;-1;-1;-1;-1;-1;131437.371;548496.898;2.025
12-2_53;131496.645;548578.234;3.046;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131475.887;548514.005;2.983;131474.196;548508.771;3.473;131469.89;548495.45;3.198;131469.583;548494.498;3.487;131469.583;548494.498;3.487;131468.814;548492.119;3.232;131469.122;548493.071;3.419;131468.968;548492.595;3.238;131467.584;548488.313;3.141;131466.354;548484.507;2.21;-1;-1;-1;-1;-1;-1;131459.127;548462.146;-0.002
12-2_54;131467.038;548584.874;2.021;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131453.543;548520.779;2.289;-1;-1;-1;-1;-1;-1;131451.998;548513.44;3.45;131451.998;548513.44;3.45;131451.483;548510.993;3.017;131451.792;548512.461;3.479;131451.483;548510.993;3.017;131451.38;548510.504;3.017;131450.762;548507.569;2.22;-1;-1;-1;-1;-1;-1;131442.005;548465.98;0.224
12-2_55;131447.523;548589.13;2.166;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131429.223;548524.158;2.469;-1;-1;-1;-1;-1;-1;131427.732;548518.864;3.489;131427.732;548518.864;3.489;131427.055;548516.457;3.092;131427.597;548518.383;3.49;131426.783;548515.495;2.682;131426.648;548515.014;2.682;131425.97;548512.608;2.111;-1;-1;-1;-1;-1;-1;131412.415;548464.48;-0.019
12-2_56;131426.828;548594.519;1.12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131413.173;548529.946;2.446;-1;-1;-1;-1;-1;-1;131411.725;548523.098;3.356;131411.725;548523.098;3.356;131411.208;548520.652;3.185;131411.415;548521.63;3.39;-1;-1;-1;-1;-1;-1;131410.384;548516.753;2.224;-1;-1;-1;-1;-1;-1;131390.833;548424.298;0.082
12-2_56_2;131378.27;548600.579;-0.118;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131386.437;548537.607;0.588;-1;-1;-1;-1;-1;-1;131387.595;548528.681;3.595;131387.595;548528.681;3.595;131387.916;548526.202;3.66;131387.9;548526.328;3.689;-1;-1;-1;-1;-1;-1;131388.607;548520.874;2.37;-1;-1;-1;-1;-1;-1;131395.81;548465.339;0.196
12-2_57;131344.243;548590.322;4.675;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131375.114;548531.422;2.584;-1;-1;-1;-1;-1;-1;131377.667;548526.551;3.757;131377.667;548526.551;3.757;131378.827;548524.337;3.79;131378.596;548524.779;3.874;-1;-1;-1;-1;-1;-1;131380.895;548520.392;2.624;-1;-1;-1;-1;-1;-1;131409.909;548465.034;0.211
12-2_58;131345.091;548497.575;3.929;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131348.915;548497.969;3.664;-1;-1;-1;-1;-1;-1;131365.329;548499.66;4.02;131365.329;548499.66;4.02;131367.816;548499.916;4.057;131369.308;548500.069;4.012;131370.302;548500.172;3.842;131376.768;548500.838;3.7;131382.031;548501.38;2.2;-1;-1;-1;-1;-1;-1;131439.726;548507.322;1.993
12-2_59;131346.837;548476.137;3.757;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131355.337;548476.1;3.551;-1;-1;-1;-1;-1;-1;131367.836;548476.045;3.868;131367.836;548476.045;3.868;131370.336;548476.034;3.881;131369.836;548476.037;3.909;-1;-1;-1;-1;-1;-1;131384.021;548475.975;2.178;-1;-1;-1;-1;-1;-1;131432.595;548475.763;1.667
12-2_60;131349.098;548448.364;3.538;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131374.629;548450.553;3.26;-1;-1;-1;-1;-1;-1;131377.618;548450.809;3.524;131377.618;548450.809;3.524;131380.109;548451.023;3.51;131380.606;548451.065;3.446;-1;-1;-1;-1;-1;-1;131387.58;548451.663;0.224;-1;-1;-1;-1;-1;-1;131389.573;548451.834;0.062
12-2_61;131351.141;548423.284;3.249;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;131376.487;548425.608;2.768;-1;-1;-1;-1;-1;-1;131381.466;548426.065;3.272;131381.466;548426.065;3.272;131383.956;548426.293;3.198;131383.374;548426.24;3.296;-1;-1;-1;-1;-1;-1;131389.847;548426.833;0.332;-1;-1;-1;-1;-1;-1;131390.843;548426.925;0.032
