LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12-2_310;134183.824;544501.637;-3.402;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134228.164;544522.493;-1.318;134239.475;544527.813;1.509;134244.452;544530.154;2.366;134248.072;544531.856;4.037;134248.072;544531.856;4.037;134250.334;544532.92;4.14;134251.476;544533.457;4.025;134256;544535.585;2.388;134260.977;544537.926;1.928;134275.908;544544.949;-1.7;-1;-1;-1;-1;-1;-1;134341.513;544575.807;-3.19
12-2_311;134195.656;544478.77;-2.682;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134239.318;544499.886;-1.345;134251.021;544505.546;1.801;134256.422;544508.159;2.494;134259.573;544509.683;4.037;134260.023;544509.9;4.167;134262.273;544510.989;4.123;134263.174;544511.424;4.045;134275.327;544517.302;0.269;134278.478;544518.826;0.142;134285.68;544522.309;-1.89;-1;-1;-1;-1;-1;-1;134352.298;544554.528;-3.14
12-2_312;134208.135;544455.74;-3.715;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134250.116;544476.873;-1.445;134262.621;544483.168;1.87;134267.98;544485.865;2.444;134271.107;544487.439;4.065;134271.107;544487.439;4.065;134273.34;544488.563;4.204;134273.786;544488.788;4.16;134284.505;544494.184;0.232;134288.046;544495.966;0.14;134294.777;544499.354;-1.84;-1;-1;-1;-1;-1;-1;134362.661;544533.526;-3.17
12-2_313;134218.483;544432.961;-3.337;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134265.377;544456.566;-0.94;134273.863;544460.838;1.821;134276.542;544462.187;2.186;134281.902;544464.884;4.095;134281.902;544464.884;4.095;134284.135;544466.009;4.259;134285.474;544466.683;4.102;134295.3;544471.629;0.349;134298.864;544473.423;0.07;134303.785;544475.9;-1.75;-1;-1;-1;-1;-1;-1;134373.903;544511.196;-3.2
12-2_314;134231.08;544410.38;-3.475;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134272.819;544431.987;-1.49;134284.807;544438.194;1.723;134290.136;544440.952;2.435;134294.132;544443.021;4.079;134294.132;544443.021;4.079;134296.352;544444.17;4.14;134296.796;544444.4;4.153;134307.009;544449.687;0.21;134310.561;544451.526;-0.013;134312.781;544452.675;-1.41;-1;-1;-1;-1;-1;-1;134384.714;544489.914;-3.26
12-2_315;134241.832;544389.025;-3.425;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134284.334;544410.234;-1.512;134296.414;544416.262;1.805;134300.888;544418.495;2.357;134304.914;544420.504;3.953;134304.914;544420.504;3.953;134307.151;544421.62;4.195;134308.046;544422.067;3.977;134318.336;544427.201;0.261;134321.02;544428.541;0.093;134324.599;544430.327;-1.58;-1;-1;-1;-1;-1;-1;134396.629;544466.271;-3.21
12-2_316;134253.442;544366.878;-3.304;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134294.601;544387.418;-1.569;134307.576;544393.892;1.922;134312.497;544396.348;2.441;134316.076;544398.134;4.037;134316.076;544398.134;4.037;134318.313;544399.25;4.22;134319.208;544399.697;4.098;134329.05;544404.608;0.279;134332.629;544406.394;-0.013;134336.656;544408.404;-1.59;-1;-1;-1;-1;-1;-1;134407.791;544443.901;-3.2
12-2_317;134264.156;544344.285;-3.385;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134306.211;544365.271;-1.465;134318.738;544371.522;2.085;134322.764;544373.532;2.302;134327.238;544375.764;4.138;134327.238;544375.764;4.138;134329.475;544376.88;4.33;134330.37;544377.327;4.242;134340.212;544382.238;0.336;134343.791;544384.025;-0.12;134347.37;544385.811;-1.49;-1;-1;-1;-1;-1;-1;134418.953;544421.531;-3.22
12-2_318;134275.353;544322.66;-3.328;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134317.593;544343.271;-1.18;134326.58;544347.656;1.382;134335.567;544352.041;3.062;134338.713;544353.576;4.463;134338.713;544353.576;4.463;134340.96;544354.673;4.38;134341.409;544354.892;4.425;134351.744;544359.935;0.191;134354.89;544361.469;-0.004;134360.282;544364.101;-1.68;-1;-1;-1;-1;-1;-1;134430.382;544398.306;-3.19
12-2_319;134284.969;544299.534;-3.723;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134333.949;544323.434;-0.544;134339.791;544326.285;2.033;134344.285;544328.477;2.592;134348.329;544330.451;4.465;134348.778;544330.67;4.581;134351.025;544331.766;4.543;134352.373;544332.424;4.511;134362.708;544337.467;0.276;134366.303;544339.221;0.011;134369.898;544340.975;-1.615;-1;-1;-1;-1;-1;-1;134441.346;544375.838;-3.17
12-2_320;134295.933;544277.067;-3.061;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134342.667;544299.87;-0.854;134348.059;544302.502;1.577;134351.205;544304.036;1.661;134358.844;544307.764;4.404;134358.844;544307.764;4.404;134361.091;544308.86;4.58;134363.787;544310.176;4.393;134373.672;544315;0.326;134376.369;544316.315;0.089;134381.761;544318.946;-1.61;-1;-1;-1;-1;-1;-1;134452.31;544353.371;-3.185
12-2_321;134307.331;544254.045;-3.198;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;134351.615;544276.163;-1.127;134363.245;544281.971;2.004;134367.271;544283.982;2.637;134372.191;544286.439;4.469;134372.191;544286.439;4.469;134374.427;544287.557;4.528;134374.875;544287.78;4.494;134385.61;544293.142;0.314;134388.742;544294.706;-0.016;134392.32;544296.493;-1.63;-1;-1;-1;-1;-1;-1;134462.995;544331.792;-3.18
